PROD_CLR_EQUIV,SALES_QTY,SALES_AMT_FX_RATE
224618_BK,1553.0,11624.9045
221101_GD,3510.0,26526.1202
227011_KK,288.0,7298.1106
211543_BM,4876.0,35598.6025
222011_BK,3660.0,93370.6765
214519_DM,2551.0,75115.8364
220898_GD,653.0,16280.939
221568_OR,1818.0,16552.1488
214228_BL,3988.0,82535.1184
223032_CA,2190.0,32893.7812
216414_BK,927.0,10572.2791
222329_BM,2013.0,22977.2525
211920_BK,336.0,8081.4262
217225_RD,185.0,4457.0364
225069_BL,393.0,2340.4876
207176_GD,3791.0,15424.0759
212653_BK,38410.0,685498.6455
214665_BG,6398.0,153355.9099
217636_SV,240.0,1272.4025
205234_GD,1790.0,8683.9286
222696_BM,591.0,20966.2895
214095_PK,185.0,3484.7925
223274_HM,4310.0,39035.5539
225623_BM,161.0,4047.0473
215398_GY,226.0,5541.0154
211332_BM,59.0,1091.0381
226911_AN,2694.0,55942.3196
209850_FU,66.0,3691.6626
212255_BM,1382.0,11168.9844
214101_PU,3394.0,37706.7462
214556_BK,5903.0,93488.0506
211891_CL,2803.0,21354.768
222466_BK,1625.0,53652.8413
213820_HM,2170.0,15916.8607
219315_BM,104.0,1359.205
209327_GD,2192.0,8674.4944
216581_GN,892.0,21633.8003
209003_GD,11511.0,75150.4632
222281_RD,306.0,8327.5354
211884_LL,4336.0,21648.507
209326_GD,1986.0,13220.0628
215560_GD,2602.0,14567.2714
221341_BM,1842.0,64766.8541
210239_GD,1926.0,12088.7087
215525_BL,6818.0,200223.0415
226436_BU,32.0,525.5854
211450_BK,1164.0,30097.3723
212580_BL,387.0,19990.7307
218518_HM,5640.0,62336.3903
210306_OW,2395.0,48879.7906
215044_BM,4926.0,110989.6408
217973_GD,4676.0,46556.0979
217800_NV,7280.0,173554.7832
214009_HM,3048.0,14475.5982
211648_GD,747.0,7030.8814
222093_BN,97.0,2587.7513
221322NC,904.0,10337.624
214342_MD,971.0,13758.087
222952_KK,3936.0,105202.0346
210729_FU,3873.0,30174.5988
221790_BU,1829.0,52715.7549
223288_BM,479.0,5506.4656
215467_TL,5739.0,67670.425
219306_BK,2830.0,16883.1028
215016_SV,2991.0,34564.7025
224799_MM,1036.0,10262.4083
213080_BK,6466.0,31078.795
219362_DM,67.0,540.9009
225694_TU,70.0,1533.3655
219154_HM,3529.0,11736.652
220330_GD,3044.0,27743.4771
222453_PM,1881.0,17579.5596
211190_GD,455.0,1967.4284
219907_KK,1381.0,25450.9419
224106_GN,1986.0,53725.0872
221186_BK,4584.0,106962.432
222027_BM,3560.0,89685.8717
222311_OW,2114.0,63256.7264
216336_IV,10006.0,55194.5688
213111_BK,6305.0,25974.4202
213207_PK,4852.0,88479.9519
